City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,nova sintra,14.8667,-24.7167,295.52,77,100,4.74,CV,1701463728
217,thinadhoo,0.5333,72.9333,300.86,78,100,5.03,MV,1701463701
218,nianzishan,47.5167,122.8833,258.1,89,47,2.31,CN,1701463729
219,saipan,15.1355,145.701,300.54,83,75,6.17,MP,1701463729
220,piti village,13.4626,144.6933,300.64,87,20,6.17,GU,1701463729
221,ostrov,57.3439,28.3537,264.0,98,98,1.37,RU,1701463729
222,luoyang,34.6836,112.4536,274.4,27,0,2.28,CN,1701463730
223,ancud,-41.8697,-73.8203,283.47,60,100,5.48,CL,1701463730
224,buenaventura,3.8801,-77.0312,300.67,83,100,2.19,CO,1701463730
225,kidal,18.4411,1.4078,300.32,16,34,1.41,ML,1701463730
226,ulsteinvik,62.3432,5.8487,275.79,86,100,2.24,NO,1701463731
227,holualoa,19.6228,-155.9522,300.25,75,40,2.57,US,1701463476
228,fukuecho,32.6881,128.8419,282.6,64,9,8.78,JP,1701463731
229,seydi,39.4816,62.9137,284.58,49,100,2.17,TM,1701463731
230,el alto,-4.2714,-81.2147,298.96,70,100,8.36,PE,1701463731
231,harrisburg,40.2737,-76.8844,279.45,86,100,1.79,US,1701463698
232,humaita,-7.5061,-63.0208,299.3,83,95,1.76,BR,1701463631
233,colle di val d'elsa,43.4151,11.1314,291.02,100,100,8.82,IT,1701463732
234,camayenne,9.535,-13.6878,301.2,83,20,0.0,GN,1701463732
235,bitkine,11.9801,18.2138,300.35,18,5,2.56,TD,1701463732
236,mount isa,-20.7333,139.5,300.02,69,7,2.57,AU,1701463733
237,zoucheng,35.4006,116.9656,271.6,38,0,2.39,CN,1701463733
238,mohale's hoek,-30.1514,27.4769,295.26,27,4,2.51,LS,1701463733
239,ubinskoye,55.3068,79.6802,268.85,96,100,4.24,RU,1701463733
240,beloyarskiy,63.7119,66.6722,251.96,100,88,1.14,RU,1701463734
241,port lincoln,-34.7333,135.8667,288.72,64,41,4.46,AU,1701463734
242,kafr ash shaykh,31.1143,30.9401,289.13,83,0,2.51,EG,1701463734
243,gouyave,12.1646,-61.7296,302.58,74,20,5.66,GD,1701463734
244,mkushi,-13.6202,29.3939,290.56,90,83,1.28,ZM,1701463734
245,bonthe,7.5264,-12.505,300.35,83,47,3.38,SL,1701463735
246,yorkton,51.2167,-102.4677,271.06,69,0,3.09,CA,1701463492
247,namibe,-15.1961,12.1522,295.5,84,66,4.22,AO,1701463735
248,urangan,-25.3,152.9,298.1,88,62,5.77,AU,1701463735
249,mejit,10.2753,170.8646,300.89,75,97,8.46,MH,1701463735
250,choyr,46.3611,108.3611,259.8,82,3,2.64,MN,1701463736
251,taroudant,30.4703,-8.877,291.18,48,91,1.89,MA,1701463736
252,vadso,70.0744,29.7487,268.24,93,75,0.0,NO,1701463736
253,nazret,8.55,39.2667,288.56,54,3,2.16,ET,1701463736
254,vila franca do campo,37.7167,-25.4333,290.31,99,98,2.98,PT,1701463737
255,lakatoro,-16.0999,167.4164,301.44,73,100,5.73,VU,1701463737
256,st. john's,47.5649,-52.7093,276.42,90,75,8.23,CA,1701463544
257,gamay,12.3854,125.2979,298.62,91,42,4.19,PH,1701463737
258,tinajo,29.0788,-13.7081,292.64,83,20,3.6,ES,1701463737
259,gornyy,55.1153,83.9059,269.87,96,98,5.11,RU,1701463738
260,roslavl',53.9528,32.8639,263.57,100,100,2.94,RU,1701463738
261,izhmorskiy,56.194,86.6414,270.33,90,83,4.14,RU,1701463738
262,kruisfontein,-34.0033,24.7314,292.53,79,100,3.29,ZA,1701463738
263,mezhdurechenskiy,59.6,65.9333,254.89,99,97,0.93,RU,1701463739
264,zeya,53.75,127.2667,259.53,80,0,2.4,RU,1701463739
265,gazojak,41.1875,61.4036,282.71,43,93,3.27,TM,1701463739
266,yuzhno-sakhalinsk,46.9581,142.7337,262.94,92,75,2.0,RU,1701463739
267,vanimo,-2.6741,141.3028,298.43,86,69,1.53,PG,1701463739
268,lindley,-27.8791,27.9135,292.55,26,0,0.87,ZA,1701463740
269,villa vicente guerrero,19.1194,-98.1708,294.81,37,41,5.02,MX,1701463740
270,remire-montjoly,4.9167,-52.2667,303.17,66,0,4.12,GF,1701463740
271,minggang,32.4586,114.0486,276.1,41,30,1.82,CN,1701463740
272,kangding,30.0513,101.9603,277.57,64,95,1.59,CN,1701463741
273,laguna,38.421,-121.4238,289.61,48,0,2.57,US,1701463722
274,partenit,44.578,34.3446,286.26,90,98,6.76,UA,1701463741
275,tamanrasset,22.785,5.5228,289.1,17,0,2.57,DZ,1701463742
276,ilhabela,-23.7781,-45.3581,298.11,89,76,1.69,BR,1701463742
277,la'ie,21.6477,-157.9253,296.13,74,100,1.08,US,1701463742
278,brookings,44.3114,-96.7984,274.36,62,0,0.0,US,1701463506
279,bela,25.9333,81.9833,292.24,82,0,1.19,IN,1701463743
280,san antonio de pale,-1.4014,5.6325,299.8,80,100,3.37,GQ,1701463743
281,petrolina,-9.3986,-40.5008,309.18,20,20,2.06,BR,1701463744
282,alta,69.9689,23.2717,263.74,80,100,25.93,NO,1701463744
283,al kharijah,25.4514,30.5464,290.01,51,0,3.56,EG,1701463744
284,maych'ew,12.7875,39.5422,284.42,65,13,2.53,ET,1701463745
285,flin flon,54.7682,-101.865,265.06,73,100,0.0,CA,1701463745
286,merizo village,13.2658,144.6691,300.46,94,33,9.48,GU,1701463745
287,brigantine,39.4101,-74.3646,284.34,79,40,3.6,US,1701463532
288,atar,20.5169,-13.0499,296.44,31,57,1.58,MR,1701463746
289,antsiranana,-12.2787,49.2917,298.8,85,100,1.83,MG,1701463746
290,hithadhoo,-0.6,73.0833,300.36,77,98,4.21,MV,1701463642
291,sinabang,2.4803,96.3801,298.64,88,100,1.72,ID,1701463708
292,hilo,19.7297,-155.09,297.94,95,100,3.6,US,1701463747
293,tambura,5.6,27.4667,297.4,79,17,1.81,SS,1701463748
294,nova vicosa,-17.8919,-39.3719,299.19,76,100,7.21,BR,1701463748
295,banjar,-8.19,114.9675,298.93,92,100,2.84,ID,1701463748
296,orsk,51.2049,58.5668,273.65,93,100,3.0,RU,1701463749
297,milford haven,51.7128,-5.0341,270.96,72,16,2.09,GB,1701463749
298,ridder,50.355,83.5133,270.52,96,100,2.56,KZ,1701463749
299,beinamar,8.6698,15.3813,300.56,28,71,1.16,TD,1701463749
300,kawalu,-7.3817,108.2082,294.69,96,99,0.42,ID,1701463750
301,howrah,22.5892,88.3103,295.15,78,58,0.0,IN,1701463751
302,carutapera,-1.195,-46.02,300.31,74,43,2.98,BR,1701463751
303,ola,59.5833,151.2833,264.94,77,100,4.66,RU,1701463751
304,tommot,58.9564,126.2925,253.01,94,100,4.15,RU,1701463752
305,pedro ii,-4.4247,-41.4586,301.58,42,83,2.99,BR,1701463752
306,san rafael,-34.6177,-68.3301,303.18,17,11,7.71,AR,1701463752
307,musan-up,42.2261,129.2078,262.12,76,1,1.84,KP,1701463752
308,ifon,6.9241,5.776,299.28,73,82,1.91,NG,1701463753
309,porangatu,-13.4408,-49.1486,298.92,73,100,1.53,BR,1701463753
310,kota kinabalu,5.9749,116.0724,298.14,94,20,1.54,MY,1701463754
311,yanbu,24.0891,38.0637,298.17,78,0,3.6,SA,1701463754
312,belfast,54.5833,-5.9333,276.14,86,40,2.57,GB,1701463754
313,mentekab,3.4854,102.3484,297.01,99,100,0.5,MY,1701463755
314,klaksvik,62.2266,-6.589,275.66,68,100,9.56,FO,1701463755
315,aitape,-3.1374,142.3475,298.73,80,91,1.31,PG,1701463755
316,mumford,5.2618,-0.759,300.26,86,35,4.54,GH,1701463756
317,rio grande,-32.035,-52.0986,302.21,83,0,9.14,BR,1701463593
318,rongelap,11.1635,166.8941,301.06,71,100,8.53,MH,1701463756
319,puerto baquerizo moreno,-0.9,-89.6,300.7,78,75,6.69,EC,1701463697
320,chonchi,-42.6128,-73.8092,285.71,66,100,3.28,CL,1701463676
321,smithers,54.7804,-127.1743,271.33,74,100,4.12,CA,1701463758
322,daru,-9.0763,143.2092,300.61,80,100,2.47,PG,1701463758
323,aginskoye,51.1,114.53,258.43,86,17,3.17,RU,1701463758
324,codrington,-38.2667,141.9667,287.7,77,93,6.29,AU,1701463759
325,vyaz'ma,55.2104,34.2951,259.18,100,93,1.97,RU,1701463759
326,fale old settlement,-9.3852,-171.2468,302.37,74,100,5.56,TK,1701463672
327,shakawe,-18.3667,21.85,297.23,56,69,2.17,BW,1701463760
328,midvagur,62.0511,-7.1939,275.61,80,100,1.03,FO,1701463760
329,aiquile,-18.2041,-65.1807,296.57,48,41,4.36,BO,1701463760
330,verkhniy baskunchak,48.2256,46.7217,280.37,85,100,12.37,RU,1701463761
331,bandar-e anzali,37.4727,49.4622,287.12,84,5,2.5,IR,1701463761
332,sherwood,34.8151,-92.2243,293.27,65,75,5.14,US,1701463761
333,usinsk,65.9939,57.5281,265.97,91,100,2.68,RU,1701463762
334,murzuq,25.9155,13.9184,290.35,21,0,3.83,LY,1701463762
335,freeport,40.6576,-73.5832,282.18,80,75,2.57,US,1701463586
336,shira,54.4911,89.9531,267.96,97,100,0.68,RU,1701463762
337,priargunsk,50.3691,119.1012,245.8,100,80,0.16,RU,1701463763
338,dhidhdhoo,6.8833,73.1,301.45,74,100,1.95,MV,1701463763
339,pacific grove,36.6177,-121.9166,290.59,62,0,4.12,US,1701463633
340,ust'-ilimsk,58.0006,102.6619,265.5,94,100,2.68,RU,1701463763
341,ghadamis,30.1337,9.5007,293.44,16,100,3.13,LY,1701463674
342,suntar,62.1444,117.6319,241.4,99,95,1.43,RU,1701463764
343,los llanos de aridane,28.6585,-17.9182,292.01,79,20,4.63,ES,1701463478
344,al khafji,28.4391,48.4913,292.81,40,6,5.4,SA,1701463764
345,ballina,-28.8667,153.5667,297.47,72,3,5.21,AU,1701463765
346,cill airne,52.05,-9.5167,276.74,71,99,1.56,IE,1701463765
347,east ballina,-28.8667,153.5833,297.48,72,3,5.37,AU,1701463765
348,aldama,22.9167,-98.0667,303.98,45,100,2.16,MX,1701463766
349,zouerate,22.7187,-12.4521,295.35,39,91,2.55,MR,1701463766
350,birni n konni,13.7956,5.2553,301.58,15,4,4.2,NE,1701463766
351,ad dindar,13.2,34.1667,302.59,23,60,3.71,SD,1701463766
352,mananjary,-21.2167,48.3333,295.61,92,100,3.99,MG,1701463767
353,alice springs,-23.7,133.8833,290.9,94,0,0.0,AU,1701463767
354,buala,-8.145,159.5921,300.0,85,100,3.81,SB,1701463768
355,wynyard,-41.0,145.7167,287.93,74,100,0.87,AU,1701463666
356,kusheriki,10.5328,6.4422,300.11,21,57,3.66,NG,1701463768
357,arnedo,42.2167,-2.1,279.87,68,25,2.58,ES,1701463769
358,mahina,-17.5065,-149.489,304.02,70,20,2.57,PF,1701463670
359,kazlu ruda,54.7667,23.5,271.14,96,100,3.9,LT,1701463769
360,sungai penuh,-2.0833,101.3833,291.22,96,100,0.47,ID,1701463769
361,kismayo,-0.3582,42.5454,300.3,83,97,4.12,SO,1701463770
362,hotan,37.0997,79.9269,274.76,39,99,0.98,CN,1701463770
363,konarka,19.9,86.1167,294.37,70,94,3.32,IN,1701463770
364,penaranda de bracamonte,40.9011,-5.2003,277.23,84,21,5.83,ES,1701463739
